Date,Calls,Query,Bookings Margin,Bookings Count,Issued Margin,Issued Count,Pending Margin,Pending Count,Same Month Margin,Same Month Count
10/27/2024,0,0,975.66,15,225.66,9,719.25,6,216.05,7
10/26/2024,113,115,8566.69,96,2931.55,15,7539.67,82,403.4,10
10/25/2024,100,121,9350.1,145,5758.84,107,2801.61,48,4313.66,89
10/24/2024,116,129,3971.57,119,13370.61,152,-3632.7,24,5077.09,75
10/23/2024,77,117,7613.12,121,6663.24,85,1007.13,16,5291.87,76
10/22/2024,125,139,10751.31,120,5987.87,84,1475.93,16,5279.71,78
10/21/2024,90,179,10689.66,122,11484.63,98,1187.54,15,8361.28,89
10/20/2024,0,0,756.53,12,321.16,6,84.12,2,321.16,6
10/19/2024,107,111,6322.16,73,2261.93,42,697.9,10,1938.06,38
10/18/2024,121,120,16840.29,141,6623.94,103,2219.63,16,6411.03,102
10/17/2024,107,134,8841.04,128,4663.42,85,486.82,9,4235.56,82
10/16/2024,107,128,6498.4,99,10735.96,155,625.05,11,2989.42,59
10/15/2024,118,124,7602.05,101,13507.82,128,-109.61,10,3995.33,73
10/14/2024,91,162,12222.66,148,6597.98,83,753.86,10,5678.95,82
10/13/2024,0,0,687.45,11,929.58,8,107,1,929.58,8
10/12/2024,105,119,11211.67,86,3666.08,62,1455.01,5,2298.3,54
10/11/2024,106,131,9703.98,123,5059.52,88,1798.95,15,4425.87,83
10/10/2024,132,112,9109.62,141,6049.11,99,231.89,9,6038.6,98
10/9/2024,115,136,13728.17,159,6106.48,92,2382.27,23,4799.22,87
10/8/2024,148,145,12466.2,154,4212.3,106,1316.23,19,3830.3,100
10/7/2024,98,149,13680.14,148,6586.03,99,2744.2,16,5513.64,93
10/6/2024,0,0,393.13,12,295.68,9,59.92,2,295.68,9
10/5/2024,115,106,5508.46,64,2718.48,45,127.86,3,2227.98,38
10/4/2024,113,112,10740.83,129,5847.52,85,1375.98,14,5158.54,77
10/3/2024,102,116,11881.44,131,7312.02,86,830.9,12,5986.91,75
10/2/2024,126,130,12995.08,128,3797.05,76,1212.8,12,3296.44,68
10/1/2024,118,139,12115.64,148,4315.43,69,886.01,14,2977.27,55
9/30/2024,115,181,13264.47,157,64696.31,406,1363.41,12,9239.24,141
9/29/2024,0,0,821.11,21,748.66,20,7.71,1,748.66,20
9/28/2024,125,119,6319.19,82,2871.01,57,444.44,3,2849.69,56
9/27/2024,111,126,10236.85,125,11118.85,105,1600.58,9,8146.48,93
9/26/2024,105,114,13223.75,127,3661.79,83,669.56,14,3646.16,82
9/25/2024,113,117,10992.74,129,18815.17,202,595.1,8,3647.91,82
9/24/2024,148,139,11531.81,132,5562.9,92,615.14,11,5241.96,85
9/23/2024,93,167,7057.32,109,6512.38,95,235.98,10,5389.64,86
9/22/2024,0,0,374.15,7,166.67,4,N/A,0,166.67,4
9/21/2024,116,104,6858.7,77,3161.5,47,1456.02,11,3139.69,45
9/20/2024,122,113,11689.72,137,7206.01,117,433.14,9,6883.78,112
9/19/2024,112,121,10009.63,131,24973.33,288,812.83,7,5930.5,94
9/18/2024,108,126,8820.47,133,7931.37,97,1921.89,13,3426.33,85
9/17/2024,137,128,9906.43,148,5094.72,93,803.14,14,5084.46,92
9/16/2024,126,163,9853.96,126,6332.1,97,381.34,9,6194.9,94
9/15/2024,0,0,1319.16,20,470.14,10,N/A,0,470.14,10
9/14/2024,116,106,6642.1,77,3293.13,62,718.11,12,3007.58,59
9/13/2024,108,121,13176.42,146,9501.85,123,270.5,7,7285.89,102
9/12/2024,110,120,10286.69,124,7597.38,95,143.83,5,6570.18,93
9/11/2024,152,120,10398.81,127,5483.01,92,246.39,9,3550.97,82
9/10/2024,148,131,11917.4,146,7203.04,118,1176.65,11,6376.32,113
9/9/2024,101,161,11998.91,162,8943.53,117,596.85,9,7267.62,113
9/8/2024,0,0,867.02,8,363.61,11,N/A,0,363.61,11
9/7/2024,115,123,7125.18,97,4738.14,64,386.31,9,4577.66,60
9/6/2024,105,125,12830.96,145,4598.44,106,695.17,11,4385.02,103
